asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B01LYCLS24,30/09/2016 00:00,FALSE,11,eufy,R21Q1,348.95,4,"eufy robovac 11, high suction, self-charging robotic vacuum cleaner with drop-sensing technology and high-performance filter for pet, designed for hard floor and thin carpet",None,1000,90,1,326,78,3021
B07JZ6MTC4,29/10/2018 00:00,FALSE,12,eufy,R20Q2,219.9714286,4.4,"eufy by anker, boostiq robovac 12, robot vacuum cleaner, upgraded, super-thin, 1500pa strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets",None,1500,100,7762,325,72,2599
B07JZ6MTC4,29/10/2018 00:00,FALSE,12,eufy,R20Q1,226.965,4.35,"eufy by anker, boostiq robovac 12, robot vacuum cleaner, upgraded, super-thin, 1500pa strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets",None,1500,100,10770,325,72,2599
B07JZ6MTC4,29/10/2018 00:00,FALSE,12,eufy,R21Q1,194.99,4.46,"eufy by anker, boostiq robovac 12, robot vacuum cleaner, upgraded, super-thin, 1500pa strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets",None,1500,100,2235,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R21Q1,139.99,3.625,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,79,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R22Q1,134.99,4.15,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,1,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R20Q4,159.6071429,2.875,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,400,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R21Q2,139.99,3.75,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,1,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R21Q3,137.2333333,3.95,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,1,325,72,2599
B083BKXPPH,01/01/2011 00:00,FALSE,12,eufy,R21Q4,131.5271429,3.85,"eufy [boostiq] robovac 12, robot vacuum cleaner, upgraded, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (renewed)",None,1500,100,153,325,72,2599
