"","X","asin","title","Brand","Firm","variationCSV","suction","Wok_1charge","db","pa","minutes","mins","hour","hours","mah","min","h"
"1",160,"B085HVKM5R","soonhua 3-in-1 automatic robot vacuum cleaner rechargeable smart robot sweeper floor auto cleaning mop sweeper","B085HVKM5R","SOONHUA","None",400,90,NA,"400",NA,"90;90;3",NA,NA,"1500;1500","90;90;3","2;7;1500;1500;3;2;1;6;8;6;8;6;8;1500;2;7"
"2",403,"B095W729ZY","fusiontec ob12 robotic vacuum cleaner, 3-in-1 slim hard floor expert wet and dry robot vacuum, ideal for dust hair grain cookie chips and other household garbage, white","B095W729ZY","Fusiontec","None",500,80,"55","500",NA,"85","4","4","2400;2400;248;248;40;3;7","80;85","2400;2400;1;2;1;248;248;40;12;3;7;80;4;1;2"
"3",360,"B0912V3VTZ","samsung jet bot+ robot vacuum cleaner w/ clean station, automatic emptying, precision cleaning, 5-layer filter, intelligent power control for hardwood floors, carpets, area rugs, vr30t85513w/aa, white","B0912V3VTZ","SAMSUNG","B0911Z9Z4N,B0912V3VTZ",550,90,NA,"5;5",NA,NA,NA,NA,NA,NA,"5;5"
"4",1897,"B0911Z9Z4N","samsung jet bot robot cordless vacuum cleaner w/ intelligent power control, precise navigation, multi surface cleaning for hardwood floors, carpets, rugs, anti hair, vr30t80313w/aa, white","B0912V3VTZ","SAMSUNG","B0911Z9Z4N,B0912V3VTZ",550,90,NA,"",NA,NA,NA,NA,NA,NA,""
"5",307,"B08RWC4CND","ioaoai rechargeable robot vacuum, 600pa robotic vacuum smart cleaner with self-charging, floor cleaning vacuum best for pet hairs home cleaning tool black","B08RWC4CND","IOAOAI","B08RWC4CND,B08RWLDQ17",600,100,NA,"600;1600;1600",NA,NA,NA,NA,"2000;3;7","100","24;2000;1;5;3;6;3;7;100;7;87"
"6",308,"B08RWLDQ17","ioaoai rechargeable robot vacuum, 600pa robotic vacuum smart cleaner with self-charging, floor cleaning vacuum best for pet hairs home cleaning tool white","B08RWC4CND","IOAOAI","B08RWC4CND,B08RWLDQ17",600,100,NA,"600;1600;1600",NA,NA,NA,NA,"2000;3;7","100","24;2000;1;5;3;6;3;7;100;7;87"
"7",516,"B09LKXZH6Z","iookme-h robot vacuum cleaner,automatically sweeping floor, high suction, self-charging, ultra flexible, daily planning, good for hard floor and low pile carpet with remote controller(white)","B09LKXZH6Z","IOOkME-H","None",600,60,NA,"600;2",NA,NA,NA,NA,NA,"1","60;1;50;2"
"8",1403,"B0775H5GCY","irobot roomba 614 robot vacuum (renewed)","614","iRobot","None",600,90,NA,"",NA,NA,NA,NA,NA,"614",""
"9",1,"B00IPEZKBW","irobot roomba 614 robot vacuum- good for pet hair, carpets, hard floors, self-charging","614","iRobot","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,NA,"","90",NA,NA,NA,NA,"90","1;1;1"
"10",2190,"B07VJQG6FN","irobot roomba 614 robot vacuum- good for pet hair, carpets, hard floors, self-charging, black","614","iRobot","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,NA,"","90;90",NA,NA,NA,NA,"90;90",""
"11",2193,"B07Z27CKPZ","irobot roomba 614 robot vacuum with dual mode virtual wall barrier (2-pack)","614","iRobot","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,NA,"2;2",NA,NA,NA,NA,NA,NA,""
"12",2192,"B07Z277N74","irobot roomba 614 robot vacuum with dual mode virtual wall barrier compatible with roomba 600/700/800/900 series","614","iRobot","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,NA,"1",NA,NA,NA,NA,NA,NA,""
"13",2191,"B07Z2864P3","irobot roomba 614 robot vacuum with roomba 600 series replenishment kit (1 bristle brush, 1 beater brush, 1 spinning side brush, 3 aerovac filters, and 1 round cleaning tool)","614","iRobot","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,NA,NA,NA,NA,NA,NA,NA,NA,""
"14",4141,"B07QC4VZ5N","irobot roomba 675 robot vacuum bundle - wi-fi connected, ideal for pet hair","675","iRobot","None",600,90,NA,"",NA,NA,NA,NA,NA,NA,""
"15",5531,"B07Z27LBL6","irobot roomba 675 robot vacuum with dual mode virtual wall barrier (2-pack)","675","iRobot","None",600,90,NA,"2;2",NA,NA,NA,NA,NA,NA,""
"16",5541,"B07Z2843KB","irobot roomba 675 robot vacuum with dual mode virtual wall barrier compatible with roomba 600/700/800/900 series","675","iRobot","None",600,90,NA,"1",NA,NA,NA,NA,NA,NA,""
"17",5551,"B07Z284C4Y","irobot roomba 675 robot vacuum with roomba 600 series replenishment kit","675","iRobot","None",600,90,NA,NA,NA,NA,NA,NA,NA,NA,""
"18",717,"B089TNN8XQ","irobot roomba 675 robot vacuum-wi-fi connectivity, compatible with alexa, good for pet hair, carpets, hard floors, self-charging (renewed)","675","iRobot","None",600,90,NA,"",NA,NA,NA,NA,NA,NA,""
"19",36,"B07DL4QY5V","irobot roomba 675 robot vacuum-wi-fi connectivity, works with alexa, good for pet hair, carpets, hard floors, self-charging","675","iRobot","None",600,90,NA,"",NA,NA,NA,NA,NA,NA,""
"20",4221,"B07QNMW83G","irobot roomba 675 robot vacuum-wi-fi connectivity, works with alexa, good for pet hair, carpets, hard floors, self-charging (renewed)","675","iRobot","None",600,90,NA,"","90",NA,NA,NA,NA,"90","1;1"
"21",936,"B08P5W2M8X","irobot roomba 675 wi-fi connected robot vacuum cleaner with braava 240 wet jet mop bundle (2 items)","675","iRobot","None",600,90,NA,"","90;90",NA,NA,NA,NA,"90;90",""
"22",813,"B08HJQQKQX","irobot roomba 692 robot vacuum-wi-fi connectivity, compatible with alexa, good for pet hair, carpets, hard floors, self-charging, charcoal grey (renewed)","692","iRobot","None",600,90,NA,"",NA,NA,NA,NA,NA,"",""
"23",157,"B085D4MFS8","irobot roomba 692 robot vacuum-wi-fi connectivity, personalized cleaning recommendations, works with alexa, good for pet hair, carpets, hard floors, self-charging, charcoal grey","692","iRobot","B08K51GV38,B085D4MFS8,B09Y2S5PJD",600,90,NA,"","90",NA,NA,NA,NA,"90",""
"24",2491,"B08K51GV38","irobot roomba 692 robot vacuum-wi-fi connectivity, works with alexa, good for pet hair, carpets, hard floors with authentic replacement parts - roomba 600 series replenishment kit, white","692","iRobot","B08K51GV38,B085D4MFS8,B09Y2S5PJD",600,90,NA,"",NA,NA,NA,NA,NA,NA,""
"25",1160,"B095XCB5DK","irobot roomba 694 robot vacuum-wi-fi connectivity, good for pet hair, carpets, hard floors, self-charging (renewed)","694","iRobot","None",600,90,NA,"","90",NA,NA,NA,NA,"90",""
"26",2755,"B092S1CKDG","irobot roomba 694 robot vacuum-wi-fi connectivity, good for pet hair, carpets, hard floors, self-charging with authentic replacement parts - roomba 600 series replenishment kit, white","694","iRobot","B092RZ2JKW,B08SP5GYJP,B092S1CKDG",600,90,NA,"",NA,NA,NA,NA,NA,NA,""
"27",2754,"B092RZ2JKW","irobot roomba 694 robot vacuum-wi-fi connectivity, good for pet hair, carpets, hard floors, self-charging with authentic replacement parts- dual mode virtual wall barrier,black","694","iRobot","B092RZ2JKW,B08SP5GYJP,B092S1CKDG",600,90,NA,"1",NA,NA,NA,NA,NA,NA,""
