com,market_ids,asin,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales
2020-03B07TJ2M5XY,2020-03,B07TJ2M5XY,None,13/08/2019 00:00,64787,594.71,4.25,Black,348,348,93,191,75975680,501
2019-09B07TJ2M5XY,2019-09,B07TJ2M5XY,None,13/08/2019 00:00,44015,699,4.16,Black,348,348,93,191,73754870,706
2019-10B07TJ2M5XY,2019-10,B07TJ2M5XY,None,13/08/2019 00:00,43169,619,4.3,Black,348,348,93,191,74168180,723
2020-01B07TJ2M5XY,2020-01,B07TJ2M5XY,None,13/08/2019 00:00,25450,447.99,4.26,Black,348,348,93,191,75550080,1157
2020-02B07TJ2M5XY,2020-02,B07TJ2M5XY,None,13/08/2019 00:00,251,349.99,4.25,Black,348,348,93,191,75361600,19607
2019-12B07TJ2M5XY,2019-12,B07TJ2M5XY,None,13/08/2019 00:00,155,349.99,4.125806452,Black,348,348,93,191,74401790,24077
2018-09B078Z742SX,2018-09,B078Z742SX,None,12/01/2018 00:00,221934,125.01,5,None,274,274,64,200,73164000,1
2019-05B07MWJB9MZ,2019-05,B07MWJB9MZ,None,15/01/2019 00:00,1393814,618,3.8,Iphone Battery Case-modela40,351,348,97,200,73383490,1
2019-09B07MWJB9MZ,2019-09,B07MWJB9MZ,None,15/01/2019 00:00,199976,489.99,4,Iphone Battery Case-modela40,351,348,97,200,73754870,1
2019-11B07MWJB9MZ,2019-11,B07MWJB9MZ,None,15/01/2019 00:00,173711,469.99,4.55,Iphone Battery Case-modela40,351,348,97,200,74174170,1
2019-12B07MWJB9MZ,2019-12,B07MWJB9MZ,None,15/01/2019 00:00,350802,533.99,4.157142857,Iphone Battery Case-modela40,351,348,97,200,74401790,1
2020-01B07MWJB9MZ,2020-01,B07MWJB9MZ,None,15/01/2019 00:00,1478209,1072,4.25,Iphone Battery Case-modela40,351,348,97,200,75550080,1
2020-03B07MWJB9MZ,2020-03,B07MWJB9MZ,None,15/01/2019 00:00,1274382,619,4.5,Iphone Battery Case-modela40,351,348,97,200,75975680,1
2019-03B07MWJB9MZ,2019-03,B07MWJB9MZ,None,15/01/2019 00:00,120565,479.89,5,Iphone Battery Case-modela40,351,348,97,200,73269680,54
2019-08B07S412MZ8,2019-08,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,19865,169.95,4.05,White,457,394,114,1179,73521260,1418
2019-09B07S412MZ8,2019-09,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,17485,150,3.95,White,457,394,114,1179,73754870,1568
2020-01B07S412MZ8,2020-01,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,16441,132.99,3.833333333,White,457,394,114,1179,75550080,1644
2019-10B07S412MZ8,2019-10,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,7719,137.43,3.85,White,457,394,114,1179,74168180,2840
2019-06B07S412MZ8,2019-06,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,4606,139.45,4.175,White,457,394,114,1179,73281660,3996
2019-12B07S412MZ8,2019-12,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,4158,139,3.7,White,457,394,114,1179,74401790,4253
2019-11B07S412MZ8,2019-11,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,3891,139.45,3.65,White,457,394,114,1179,74174170,4406
2019-07B07S412MZ8,2019-07,B07S412MZ8,"B07N6P2RTQ,B088P7MDK7,B07CMG2VGC,B07LCRK1ZP,B07MDS8Y1S,B088P98M3Z,B07WHMGDW9,B08QDPQBKG,B07PDSXQ5L",21/05/2019 00:00,2681,137.95,4.157142857,White,457,394,114,1179,73275670,5642
2019-11B07RLRWWPJ,2019-11,B07RLRWWPJ,None,06/05/2019 00:00,12298,649.99,4.666666667,Black,348,351,97,1429,74174170,2083
2019-09B07RLRWWPJ,2019-09,B07RLRWWPJ,None,06/05/2019 00:00,8696,649.99,4.23,Black,348,351,97,1429,73754870,2725
2019-08B07RLRWWPJ,2019-08,B07RLRWWPJ,None,06/05/2019 00:00,5330,579.99,4,Black,348,351,97,1429,73521260,3581
2020-01B07RLRWWPJ,2020-01,B07RLRWWPJ,None,06/05/2019 00:00,5205,649.98,4.633333333,Black,348,351,97,1429,75550080,3653
2019-10B07RLRWWPJ,2019-10,B07RLRWWPJ,None,06/05/2019 00:00,1182,649.99,4.385714286,Black,348,351,97,1429,74168180,9216
