asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales
B01LYCLS24,30/09/2016 00:00,FALSE,11,eufy,R21Q1,348.95,4,"eufy robovac 11, high suction, self-charging robotic vacuum cleaner with drop-sensing technology and high-performance filter for pet, designed for hard floor and thin carpet",None,1000,90,1
B01MU4WAUI,28/12/2016 00:00,FALSE,B01MU4WAUI,Xiaomi,R20Q1,385.3895,3.752941176,"xiaomi mi robot vacuum with precise distance sensor system powerful suction lds path planning 5200mah battery for hard-floor n low thin carpet, white",None,1800,150,1
B01MU4WAUI,28/12/2016 00:00,FALSE,B01MU4WAUI,Xiaomi,R20Q3,331.5447059,3.8,"xiaomi mi robot vacuum with precise distance sensor system powerful suction lds path planning 5200mah battery for hard-floor n low thin carpet, white",None,1800,150,1
B01MU4WAUI,28/12/2016 00:00,FALSE,B01MU4WAUI,Xiaomi,R21Q1,363.7842105,3.75,"xiaomi mi robot vacuum with precise distance sensor system powerful suction lds path planning 5200mah battery for hard-floor n low thin carpet, white",None,1800,150,1
B01MU4WAUI,28/12/2016 00:00,FALSE,B01MU4WAUI,Xiaomi,R21Q4,380.2792308,3.866666667,"xiaomi mi robot vacuum with precise distance sensor system powerful suction lds path planning 5200mah battery for hard-floor n low thin carpet, white",None,1800,150,1
B06XS31V18,14/06/2017 00:00,FALSE,890,iRobot,R22Q1,471.7466667,4.3,"irobot roomba 890 robot vacuum- wi-fi connected, works with alexa, ideal for pet hair, carpets, hard floors",None,850,90,1
B073WZ42XD,13/07/2017 00:00,FALSE,B073WZ42XD,SAMSUNG,R21Q3,555.0690909,4.05,"samsung electronics r7065 robot vacuum wi-fi connectivity, ideal for carpets, hard floors, and pet hair with 5160pa strong performance, works with amazon alexa and the google assistant, satin titanium",None,5160,90,1
B0748CD7VL,25/07/2017 00:00,FALSE,B0748CD7VL,Dana Trading Co,R20Q1,157.245,3.45,pure clean robotic vacuum cleaner-1600pa suction-efficient gyroscope s-path scheduled activation & automatic charge dock ultra thin 3.0” height cleans carpets and hardwood floor-pucrc105,None,1000,90,1
B0748CD7VL,25/07/2017 00:00,FALSE,B0748CD7VL,Dana Trading Co,R20Q3,213.722,3.6,pure clean robotic vacuum cleaner-1600pa suction-efficient gyroscope s-path scheduled activation & automatic charge dock ultra thin 3.0” height cleans carpets and hardwood floor-pucrc105,None,1000,90,1
B0748CD7VL,25/07/2017 00:00,FALSE,B0748CD7VL,Dana Trading Co,R21Q1,202.952,3.7,pure clean robotic vacuum cleaner-1600pa suction-efficient gyroscope s-path scheduled activation & automatic charge dock ultra thin 3.0” height cleans carpets and hardwood floor-pucrc105,None,1000,90,1
B0748CD7VL,25/07/2017 00:00,FALSE,B0748CD7VL,Dana Trading Co,R21Q2,147.724,3.6,pure clean robotic vacuum cleaner-1600pa suction-efficient gyroscope s-path scheduled activation & automatic charge dock ultra thin 3.0” height cleans carpets and hardwood floor-pucrc105,None,1000,90,1
B0748CD7VL,25/07/2017 00:00,FALSE,B0748CD7VL,Dana Trading Co,R22Q1,166.356,3.6,pure clean robotic vacuum cleaner-1600pa suction-efficient gyroscope s-path scheduled activation & automatic charge dock ultra thin 3.0” height cleans carpets and hardwood floor-pucrc105,None,1000,90,1
B074MD221N,07/08/2017 00:00,FALSE,B074MD221N,FENGRUI,R20Q2,74.39,3.22,fengrui robot vacuum cleaner automatic mini strong suction remote control hepa filter robotic vacuums for dog pets hair hardwood floor surfaces 11.4x11.4x2.95 inches (pink),B074MD221N,1000,150,1
B074MD221N,07/08/2017 00:00,FALSE,B074MD221N,FENGRUI,R21Q1,128.33,3.25,fengrui robot vacuum cleaner automatic mini strong suction remote control hepa filter robotic vacuums for dog pets hair hardwood floor surfaces 11.4x11.4x2.95 inches (pink),B074MD221N,1000,150,1
B074MD221N,07/08/2017 00:00,FALSE,B074MD221N,FENGRUI,R21Q2,121.3365625,3.233333333,fengrui robot vacuum cleaner automatic mini strong suction remote control hepa filter robotic vacuums for dog pets hair hardwood floor surfaces 11.4x11.4x2.95 inches (pink),B074MD221N,1000,150,1
B074MD221N,07/08/2017 00:00,FALSE,B074MD221N,FENGRUI,R21Q3,111.1652174,3.3,fengrui robot vacuum cleaner automatic mini strong suction remote control hepa filter robotic vacuums for dog pets hair hardwood floor surfaces 11.4x11.4x2.95 inches (pink),B074MD221N,1000,150,1
B075MSQXTK,14/09/2017 00:00,FALSE,B075MSQXTK,SAMSUNG,R20Q1,354.1814286,3.45,samsung powerbot r7070 robot vacuum (renewed),B07DJRY1KV,1040,60,1
B075MSQXTK,14/09/2017 00:00,FALSE,B075MSQXTK,SAMSUNG,R20Q2,429.2566667,3.4,samsung powerbot r7070 robot vacuum (renewed),B07DJRY1KV,1040,60,1
B075MSQXTK,14/09/2017 00:00,FALSE,B075MSQXTK,SAMSUNG,R20Q3,365.792,3.4,samsung powerbot r7070 robot vacuum (renewed),B07DJRY1KV,1040,60,1
B075MSQXTK,14/09/2017 00:00,FALSE,B075MSQXTK,SAMSUNG,R20Q4,499.77,3.55,samsung powerbot r7070 robot vacuum (renewed),B07DJRY1KV,1040,60,1
B0775H5GCY,03/11/2017 00:00,FALSE,614,iRobot,R20Q3,197.885,4.266666667,irobot roomba 614 robot vacuum (renewed),None,600,90,1
B0775H5GCY,03/11/2017 00:00,FALSE,614,iRobot,R20Q4,169.2475,4.166666667,irobot roomba 614 robot vacuum (renewed),None,600,90,1
B0775H5GCY,03/11/2017 00:00,FALSE,614,iRobot,R21Q3,185.9869231,4.15,irobot roomba 614 robot vacuum (renewed),None,600,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R20Q1,123.0928571,3.65,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R20Q2,103.5552632,3.6,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R20Q3,157.9247059,3.4,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R20Q4,153.8942857,3.6,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R21Q2,156.384,3.633333333,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R21Q3,141.5108696,3.4,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R21Q4,143.6482857,3.3,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B0776Y17XD,06/11/2017 00:00,FALSE,B0776Y17XD,PURE CLEAN,R22Q1,188.4625,3.35,pucrc25 and pucrc26b replacement parts - (4) rotating side brushes (2) dustbin filters - robot vacuum cleaner replacement parts and accessory kit - pureclean prtpucrc251,None,1000,90,1
B077GCH67N,14/11/2017 00:00,TRUE,B077GCH67N,SereneLife,R22Q1,139.99,4.2,robotic vacuum cleaner - robotic auto home cleaning for clean carpet hardwood floor - bot self detects stairs - air filter pet hair allergies friendly,None,2600,90,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q2,442.93,3.833333333,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q3,337.3111111,3.4,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q4,380.6666667,3.6,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q1,374.8461538,3.8,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q2,379.796,3.95,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q4,391.16,4.1,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1
