,market_ids,asin,asin,variationCSV.x,listed_date,salesRANK,prices,rating,ave_rating,color,itemLength.y,itemWidth.y,itemHeight.y,itemWeight,Fra_income
66576,2016-07,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3,327,152,4.25,Black,432,457,127,5216,68949540
67034,2016-08,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,2697,319,398,4.3,Black,432,457,127,5216,68844780
69535,2016-10,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,63,339.96,508,4.35,Black,432,457,127,5216,69141600
70271,2016-11,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,157,249.99,522,4.3,Black,432,457,127,5216,69054300
71579,2016-12,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,46,249,3903,4.375,Black,432,457,127,5216,68955360
71956,2017-01,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,5323,325,661,4.25,Black,432,457,127,5216,70567200
73506,2017-02,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,22865,328,695,4.24,Black,432,457,127,5216,70709760
84618,2018-01,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3183,269.99,809,4.3,Black,432,457,127,5216,72162000
85235,2018-02,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1271,238.46,830,4.24,Black,432,457,127,5216,71880000
89615,2018-06,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,694,243.09,938,4.6,Black,432,457,127,5216,72792000
90368,2018-07,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,686,224.99,970,4.3,Black,432,457,127,5216,72492000
91099,2018-08,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,12607,224.99,1001,4.25,Black,432,457,127,5216,72786000
92765,2018-10,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1621,248.99,1017,4.65,Black,432,457,127,5216,73428000
94392,2018-11,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1981,229,1028,4.25,Black,432,457,127,5216,73482000
94763,2018-12,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1903,289,1044,4.233333333,Black,432,457,127,5216,73536000
96245,2019-01,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,53718,229,1063,4.26,Black,432,457,127,5216,73335570
96989,2019-02,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,27032,203.25,1064,4.24,Black,432,457,127,5216,73191810
97941,2019-03,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3,222.86,1082,4.25,Black,432,457,127,5216,73269680
99703,2019-05,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,645,199,1155,4.2625,Black,432,457,127,5216,73383490
102473,2019-07,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1336,149.99,1275,4.3,Black,432,457,127,5216,73275670
104399,2019-09,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1182,229.99,1269,4.25,Black,432,457,127,5216,73754870
104696,2019-10,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,2451,245.99,1317,4.25,Black,432,457,127,5216,74168180
105730,2019-11,B00IPEZKBW,B00IPEZKBW,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,439,218.99,1378,4.65,Black,432,457,127,5216,74174170
107133,2019-12,B00IPEZKBW,B01FS67F3U,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,248,208.35,1590,4.572807018,Black,432,457,127,5216,74401790
109450,2020-02,B00IPEZKBW,B01FS67F3U,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1349,212,2229,4.352941176,Black,432,457,127,5216,75361600
71838,2017-01,B01FS67F3U,B01FS67F3U,None,17/05/2016 00:00,83099,119.99,NA,3.2,Black-white,390,350,110,2500,70567200
74235,2017-03,B01FS67F3U,B01FS67F3U,None,17/05/2016 00:00,92668,60,NA,3.25,Black-white,390,350,110,2500,70424640
75367,2017-04,B01FS67F3U,B01FS67F3U,None,17/05/2016 00:00,74002,39,NA,3.5,Black-white,390,350,110,2500,70751340
79909,2017-09,B01FS67F3U,B01FS67F3U,None,17/05/2016 00:00,291253,109.9,NA,3.55,Black-white,390,350,110,2500,71072100
84197,2018-01,B01FS67F3U,B01FS67F3U,None,17/05/2016 00:00,118928,88.9,NA,3.5,Black-white,390,350,110,2500,72162000
85650,2018-02,B01FS67F3U,B01G6XTDA2,None,17/05/2016 00:00,180075,99.99,NA,3.4,Black-white,390,350,110,2500,71880000
86323,2018-03,B01FS67F3U,B01J2WUUVK,None,17/05/2016 00:00,341834,99.99,NA,3.1,Black-white,390,350,110,2500,71922000
75505,2017-04,B01G6XTDA2,B01J2WUUVK,None,04/05/2016 00:00,2256134,80,NA,1.5,Black With White,344,344,91,3000,70751340
73751,2017-02,B01J2WUUVK,B01J2WUUVK,None,03/09/2016 00:00,128033,299,NA,4.6,Black,330,330,80,3175,70709760
76329,2017-05,B01J2WUUVK,B01J2WUUVK,None,03/09/2016 00:00,38225,229,NA,4.55,Black,330,330,80,3175,70804800
78576,2017-07,B01J2WUUVK,B01LYCLS24,None,03/09/2016 00:00,26795,229,NA,4.5,Black,330,330,80,3175,70383060
82036,2017-11,B01J2WUUVK,B01LYCLS24,None,03/09/2016 00:00,132936,299,NA,4.2,Black,330,330,80,3175,71404740
70180,2016-11,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,90,219.99,NA,4.55,Black,330,326,78,3021,69054300
71068,2016-12,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,299,175.99,NA,4.46,Black,330,326,78,3021,68955360
72018,2017-01,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,5169,219.99,NA,4.65,Black,330,326,78,3021,70567200
73091,2017-02,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,1301,219.99,NA,4.65,Black,330,326,78,3021,70709760
74131,2017-03,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,4,99.99,NA,4.633333333,Black,330,326,78,3021,70424640
75516,2017-04,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,50,90.5,NA,4.55,Black,330,326,78,3021,70751340
76099,2017-05,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,2,149.59,NA,4.5,Black,330,326,78,3021,70804800
79017,2017-08,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,37,10.54,NA,4.45,Black,330,326,78,3021,70757280
82217,2017-11,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,239,197.99,NA,4.34,Black,330,326,78,3021,71404740
82810,2017-12,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,2696,259.99,NA,4.35,Black,330,326,78,3021,71434440
83789,2018-01,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,4973,191.49,NA,4.242857143,Black,330,326,78,3021,72162000
85982,2018-03,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,5590,249.99,NA,4.266666667,Black,330,326,78,3021,71922000
93557,2018-10,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,11554,260.5,NA,4.307692308,Black,330,326,78,3021,73428000
98653,2019-03,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,8170,179.99,NA,4.133333333,Black,330,326,78,3021,73269680
105509,2019-10,B01LYCLS24,B01LYCLS24,None,30/09/2016 00:00,69410,389.35,NA,4,Black,330,326,78,3021,74168180
