,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
1,B00IPEZKBW,2019-01B00IPEZKBW,2019-01,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,53718,229,4.26,Black,432,457,127,5216,73335570,589,614,iRobot,600,FALSE,90,2019,3
2,B00IPEZKBW,2019-02B00IPEZKBW,2019-02,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,27032,203.25,4.24,Black,432,457,127,5216,73191810,1101,614,iRobot,600,FALSE,90,2019,3
3,B00IPEZKBW,2017-02B00IPEZKBW,2017-02,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,22865,328,4.24,Black,432,457,127,5216,70709760,1249,614,iRobot,600,FALSE,90,2017,5
4,B00IPEZKBW,2018-08B00IPEZKBW,2018-08,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,12607,224.99,4.25,Black,432,457,127,5216,72786000,2036,614,iRobot,600,FALSE,90,2018,4
5,B00IPEZKBW,2017-01B00IPEZKBW,2017-01,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,5323,325,4.25,Black,432,457,127,5216,70567200,3585,614,iRobot,600,FALSE,90,2017,5
6,B00IPEZKBW,2018-01B00IPEZKBW,2018-01,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3183,269.99,4.3,Black,432,457,127,5216,72162000,4830,614,iRobot,600,FALSE,90,2018,4
7,B00IPEZKBW,2016-08B00IPEZKBW,2016-08,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,2697,319,4.3,Black,432,457,127,5216,68844780,5616,614,iRobot,600,FALSE,90,2016,6
8,B00IPEZKBW,2019-10B00IPEZKBW,2019-10,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,2451,245.99,4.25,Black,432,457,127,5216,74168180,6014,614,iRobot,600,FALSE,90,2019,3
9,B00IPEZKBW,2018-11B00IPEZKBW,2018-11,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1981,229,4.25,Black,432,457,127,5216,73482000,6774,614,iRobot,600,FALSE,90,2018,4
10,B00IPEZKBW,2018-12B00IPEZKBW,2018-12,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,1903,289,4.233333333,Black,432,457,127,5216,73536000,6901,614,iRobot,600,FALSE,90,2018,4
